tag,rating_avg
zombies,3.310714285714286
wrongful imprisonment,4.487138263665595
witty!,3.8477011494252875
witty,3.8541666666666665
will farell,3.0588235294117645
who done it,3.3
whimsical,4.548
well done,3.9583333333333335
weird,4.21875
war,4.099184686281461
visually appealing,3.920454545454546
visceral,3.6511627906976742
virtual reality,4.183397683397684
violent,4.3548429469812655
violence,4.072513591301567
villain nonexistent or not needed for good story,3.8141025641025643
vigilantism,3.522727272727273
video game adaptation,3.0
very funny!,3.0615384615384613
vengeance,3.8359375
vampires,2.5384615384615383
vampire,3.1904761904761907
unusual plot structure,4.135593220338983
unique look,2.727272727272727
uganda,2.5
twist ending,3.968836171242211
true story,3.5454545454545454
travel,3.6002304147465436
tragedy,4.088235294117647
touching,3.6333333333333333
tosee,3.5
toplist16,4.5
toplist15,3.9506208915589225
toplist14,3.681201584053146
toplist13,3.7489965986394553
toplist12,3.783367422051633
toplist11,3.8053025793650788
toplist10,3.775375574951052
toplist09,3.73045764552829
toplist08,3.8264063910308
toplist07,3.8193685973551443
toplist06,3.664800265819237
toplist05,3.8628722668740822
too long,2.911764705882353
tom hanks,3.9025
tobey maguire,3.5223880597014925
tivo,3.681441746659138
time-travel,4.151162790697675
time travel,3.8478234943351226
tim robbins,3.8068181818181817
thriller,4.134718308225771
thought-provoking,4.013698630136986
thora birch,3.6666666666666665
the best comic adaptation!,3.625
that fat nerd is just annoying,3.9150943396226414
terrible ending,3.522727272727273
teleportation,3.8333333333333335
teenagers,4.0
teen pregnancy,3.8541666666666665
technology,4.095238095238095
tcm,3.7202380952380953
tarantino,4.256172839506172
sword fight,3.854609929078014
sweet,3.3253968253968256
suspense,4.2
surrealism,3.5220099667774085
surreal,3.893041712809155
supernatural powers,4.221649484536083
superhero,3.1316158042164233
super-hero,3.861111111111111
sufficiently explodey to be good,2.625
stylized,4.056720986135957
stupidity,3.5
stupid,2.303698435277383
strong female presence,2.5
strippers,3.216666666666667
storyline,4.041666666666667
steve martin,3.267857142857143
steve carell,3.9078947368421053
stereotypes,3.125
steampunk,3.2857142857142856
starwars,4.221649484536083
starship pilots,4.059907834101383
star,3.5172413793103448
standard romantic comedy,2.480769230769231
stallone,3.789855072463768
spock,3.8333333333333335
space adventure,4.221649484536083
space,3.987490372161371
sort of honest,3.6666666666666665
social criticism,3.533333333333333
social commentary,4.22457627118644
snorefest,2.7241379310344827
slow parts,3.6333333333333333
slow,3.8716608594657376
sightsound,3.8921474358974355
siblings,3.7
short,3.5
shakespeare,3.5258620689655173
sexy food,3.05
sexist,3.7413793103448274
sex,3.6470588235294117
series,4.221649484536083
serial killer,4.034825870646766
sequel,4.059907834101383
sentimental,4.151162790697675
self discovery,3.734213098729228
seen it before,3.3378378378378377
script,4.221649484536083
sci-fi,3.765022568265598
sci fi,3.8333333333333335
school,4.040983606557377
scary,3.7265625
satirical,3.995833333333333
satire,4.047829319060362
sandra 'boring' bullock,3.4405940594059405
sad,3.7
romantic comedy,3.2416666666666667
romantic,3.8393939393939394
romance,3.090259537210757
rock and roll,3.5294117647058822
robots,2.625
road trip,3.7684634974533107
ridiculous training sequence,2.4782608695652173
rich families,3.358490566037736
revenge,3.926116952280035
renegade art,3.9166666666666665
renee z,2.8095238095238093
relativity,4.151162790697675
relationships,3.926282051282051
redemption,3.3333333333333335
racism,3.6417910447761193
r:violence,4.256172839506172
r. phoneix,4.09375
quirky,3.993448577479257
psychology,4.10203651031314
psychological thriller,3.84375
psychological,3.82903805086391
privacy,3.5
prison escape,4.487138263665595
prison,4.487138263665595
pregnancy,3.8541666666666665
predictable,3.3967260471834373
powerpoint,3.789473684210526
post-apocalyptic,3.391560798548094
possession,3.7265625
politics,4.1
plot holes,3.1973684210526314
play enough video games and you can become an NSA agent,2.4782608695652173
pixar,4.095238095238095
pirates,4.027304964539007
physics,4.151162790697675
photography,3.5714285714285716
philosophy,4.116473616473616
philosophical issues,4.151162790697675
philosophical,3.2333333333333334
parody,3.1798245614035086
paranoid,3.921875
overrated,3.7154786752363287
original plot,3.6333333333333333
organized crime,4.151378651378651
on the run,4.0285714285714285
okay,3.5
off-beat comedy,3.951864035087719
ocean,3.9863636363636363
obvious plot,3.4285714285714284
notable soundtrack,4.096
notable nudity,3.9
not worth your time,2.5714285714285716
not too thrilled,3.5
not only for kids,3.5294117647058822
not by book,3.8260869565217392
nonlinear,4.178787878787879
no desire to see this,3.2875
nerdy,4.221649484536083
nerds,3.6470588235294117
nascar,3.0588235294117645
narrated,4.487138263665595
nair,3.625
must see,2.9714285714285715
musical parodies,3.358490566037736
musical,3.526442307692308
music,3.5501005826859044
multiple storylines,3.939459815546772
multiple roles,3.8141025641025643
moore,4.166666666666667
moody,3.823529411764706
mindfuck,4.04954954954955
military,3.4285714285714284
mike myers,2.911111111111111
meryl streep,2.625
memories,3.393939393939394
mel gibson,3.4292929292929295
meg ryan,3.3583333333333334
meaning of life,2.8333333333333335
mathematics,4.045940887249972
math,3.9517543859649122
martial arts,3.97346146178383
magical realism,5.0
magic,3.854609929078014
mad scientist,3.625
lyrical,3.7777777777777777
low-budget,2.0
love,3.6814912047302295
long,4.162322224908661
liked the other two better,3.265957446808511
light,3.942622950819672
lake forest,3.8870967741935485
kung fu,3.729166666666667
keanu reeves,3.3823529411764706
joss whedon,3.625
joseph fiennes,3.9669421487603307
johnny depp,3.854609929078014
john cusack,3.210526315789474
jodi foster,3.933333333333333
jimmy stewart,4.315217391304348
jesus,4.45
jedi,4.221649484536083
japanese influence,4.095238095238095
jakie chan,3.1538461538461537
jack nicholson,4.02970297029703
irreverent,3.5
